,Date,Open,High,Low,Close,Volume,OpenInt,Name
82474,20190614,2.2,2.2,2.145,2.18,36184,0,wse
82475,20190617,2.1,2.15,1.98,2.09,181664,0,wse
82476,20190618,2.07,2.12,2.04,2.11,22041,0,wse
82477,20190619,2.085,2.105,2.07,2.1,23192,0,wse
82478,20190621,2.08,2.1,2.0,2.05,32806,0,wse
82479,20190624,2.05,2.06,2.01,2.03,16624,0,wse
82480,20190625,2.01,2.14,2.01,2.13,32593,0,wse
82481,20190626,2.1,2.2,2.05,2.055,203231,0,wse
82482,20190627,2.05,2.09,2.03,2.065,14496,0,wse
82483,20190628,2.04,2.08,2.04,2.04,7055,0,wse
82484,20190701,2.03,2.065,1.96,2.015,67616,0,wse
82485,20190702,2.0,2.03,2.0,2.015,11566,0,wse
82486,20190703,2.01,2.17,2.0,2.07,118833,0,wse
82487,20190704,2.12,2.12,1.97,1.97,136208,0,wse
82488,20190705,1.96,2.025,1.912,2.02,116698,0,wse
82489,20190708,2.02,2.05,1.95,2.03,56957,0,wse
82490,20190709,2.04,2.04,1.97,2.0,53770,0,wse
82491,20190710,2.015,2.015,1.97,1.9980000000000002,43936,0,wse
82492,20190711,1.99,2.015,1.98,2.015,3671,0,wse
82493,20190712,1.974,2.0,1.946,2.0,30229,0,wse
82494,20190715,2.0,2.0,1.974,1.98,9023,0,wse
82495,20190716,1.98,2.0,1.952,1.99,28665,0,wse
82496,20190717,1.964,1.99,1.96,1.99,13142,0,wse
82497,20190718,1.97,2.0,1.954,1.99,26439,0,wse
82498,20190719,1.97,2.01,1.96,2.01,42579,0,wse
82499,20190722,2.01,2.01,1.984,1.9980000000000002,793,0,wse
82500,20190723,1.9980000000000002,2.055,1.992,2.02,134739,0,wse
82501,20190724,2.015,2.03,1.994,2.02,7469,0,wse
82502,20190725,2.02,2.02,1.992,1.992,7457,0,wse
82503,20190726,1.994,2.04,1.9880000000000002,2.025,32754,0,wse
82504,20190729,2.02,2.045,1.99,2.0,9998,0,wse
82505,20190730,2.04,2.055,1.99,2.005,35995,0,wse
82506,20190731,2.05,2.05,1.88,1.91,73174,0,wse
82507,20190801,1.9,1.95,1.82,1.86,105167,0,wse
82508,20190802,1.85,1.9480000000000002,1.84,1.92,26050,0,wse
82509,20190805,1.922,1.926,1.784,1.82,39857,0,wse
82510,20190806,1.84,1.87,1.8,1.838,27878,0,wse
82511,20190807,1.8,1.8359999999999999,1.78,1.808,25380,0,wse
82512,20190808,1.82,1.828,1.72,1.8,28665,0,wse
82513,20190809,1.79,1.814,1.78,1.806,6080,0,wse
82514,20190812,1.806,1.92,1.736,1.92,31869,0,wse
82515,20190813,1.82,1.9,1.79,1.868,26853,0,wse
82516,20190814,1.86,1.868,1.79,1.82,8629,0,wse
82517,20190816,1.784,1.82,1.75,1.8,16904,0,wse
82518,20190819,1.7719999999999998,1.83,1.73,1.76,30974,0,wse
82519,20190820,1.73,1.74,1.68,1.68,33624,0,wse
82520,20190821,1.7280000000000002,1.73,1.65,1.66,27863,0,wse
82521,20190822,1.66,1.71,1.65,1.69,12463,0,wse
82522,20190823,1.636,1.7,1.5859999999999999,1.642,38581,0,wse
82523,20190826,1.58,1.62,1.544,1.5659999999999998,44682,0,wse
82524,20190827,1.546,1.6,1.546,1.58,30168,0,wse
82525,20190828,1.5659999999999998,1.584,1.5659999999999998,1.5659999999999998,9963,0,wse
82526,20190829,1.5619999999999998,1.59,1.546,1.588,17329,0,wse
82527,20190830,1.59,1.67,1.57,1.67,29356,0,wse
82528,20190902,1.65,1.65,1.61,1.61,12196,0,wse
82529,20190903,1.6119999999999999,1.6680000000000001,1.6119999999999999,1.6680000000000001,4689,0,wse
82530,20190904,1.66,1.66,1.624,1.6580000000000001,2338,0,wse
82531,20190905,1.6580000000000001,1.75,1.6580000000000001,1.694,21786,0,wse
82532,20190906,1.65,1.694,1.604,1.6480000000000001,38297,0,wse
82533,20190909,1.61,1.67,1.61,1.64,15284,0,wse
82534,20190910,1.62,1.65,1.62,1.6480000000000001,5553,0,wse
